session_id,student_id,present,pending
2571297,30,early,
2571297,31,early,
2571297,32,early,
2571297,33,early,
2571297,34,intime,
2571297,35,intime,
2571297,36,early,
2571297,37,intime,
2571297,38,early,
2571297,39,intime,
2571297,40,intime,
2571297,41,early,
2571297,42,intime,
2571297,43,early,
2571297,44,early,
2571297,45,intime,
2571297,46,early,
2571297,47,early,
2571297,48,early,
2571297,49,intime,
2571297,50,early,
2571297,51,,
2571297,52,intime,
2571299,30,early,
2571299,31,early,
2571299,32,early,
2571299,33,early,
2571299,34,intime,
2571299,35,intime,
2571299,36,intime,
2571299,37,early,
2571299,38,early,
2571299,39,early,
2571299,40,early,
2571299,41,early,
2571299,42,early,
2571299,43,intime,
2571299,44,intime,
2571299,45,early,
2571299,46,intime,
2571299,47,early,
2571299,48,early,
2571299,49,early,
2571299,50,intime,
2571299,51,early,
2571299,52,intime,
2571301,30,intime,
2571301,31,early,
2571301,32,early,
2571301,33,early,
2571301,34,early,
2571301,35,intime,
2571301,36,intime,
2571301,37,early,
2571301,38,early,
2571301,39,early,
2571301,40,early,
2571301,41,early,
2571301,42,early,
2571301,43,early,
2571301,44,,
2571301,45,early,
2571301,46,intime,
2571301,47,early,
2571301,48,intime,
2571301,49,intime,
2571301,50,early,
2571301,51,early,
2571301,52,early,
2571303,30,early,
2571303,31,intime,
2571303,32,early,
2571303,33,early,
2571303,34,early,
2571303,35,early,
2571303,36,early,
2571303,37,early,
2571303,38,intime,
2571303,39,early,
2571303,40,,
2571303,41,intime,
2571303,42,early,
2571303,43,early,
2571303,44,early,
2571303,45,early,
2571303,46,early,
2571303,47,intime,
2571303,48,early,
2571303,49,early,
2571303,50,early,
2571303,51,early,
2571303,52,intime,
2571305,29,intime,
2571305,30,intime,
2571305,31,early,
2571305,32,early,
2571305,33,early,
2571305,34,early,
2571305,35,,
2571305,36,early,
2571305,37,early,
2571305,38,early,
2571305,39,intime,
2571305,40,early,
2571305,41,early,
2571305,42,,
2571305,43,intime,
2571305,44,early,
2571305,45,early,
2571305,46,intime,
2571305,47,early,
2571305,48,intime,
2571305,49,intime,
2571305,50,early,
2571305,51,early,
2571305,52,early,
2571307,30,early,
2571307,31,intime,
2571307,32,early,
2571307,33,,
2571307,34,intime,
2571307,35,intime,
2571307,36,early,
2571307,37,intime,
2571307,38,intime,
2571307,39,early,
2571307,40,intime,
2571307,41,intime,
2571307,42,early,
2571307,43,intime,
2571307,44,early,
2571307,45,early,
2571307,46,early,
2571307,47,early,
2571307,48,early,
2571307,49,early,
2571307,50,intime,
2571307,51,early,
2671262,53,intime,
2671262,54,early,
2671262,55,intime,
2671262,56,early,
2671262,57,early,
2671262,58,early,
2671262,59,intime,
2671262,60,early,
2671262,61,early,
2671262,62,early,
2671262,63,intime,
2671262,64,intime,
2671262,65,early,
2671262,66,early,
2671262,67,intime,
2671262,68,intime,
2671262,69,intime,
2671262,70,early,
2671262,71,early,
2671262,72,early,
2671262,73,early,
2671262,74,intime,
2671262,75,early,
2671262,76,early,
2671262,77,early,
2671262,78,intime,
2671262,79,early,
2671262,80,early,
2671262,81,early,
2671262,82,early,
2671262,83,,
2671262,84,early,
2671262,85,intime,
2671262,86,early,
2671262,87,early,
